textbook_id,grade,subject,category,curriculum_relevance,filename,num_pages,file_size_mb,has_selectable_text,is_image_only,ocr_requirement,total_extracted_characters,avg_chars_per_page,relative_path
gseb_std11_11_elements_of_book_keeping_and_accountancy_part_2_eng_m_pdf_em,STD-11th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std-11_Elements of Book Keeping and Accountancy Part-2_Eng_M.pdf,330,107.09,False,False,HYBRID_OPTIONAL,8272,25.1,STD-11th/Std-11_Elements of Book Keeping and Accountancy Part-2_Eng_M.pdf
gseb_std11_11_history_english_medium_pdf_em,STD-11th,Social Science & Humanities,CORE_TEXTBOOK,HIGH,STD-11_HISTORY_English Medium.pdf,154,76.38,True,False,HYBRID_OPTIONAL,8192,53.2,STD-11th/STD-11_HISTORY_English Medium.pdf
gseb_std11_11_hornbill_englishmedium_pdf_em,STD-11th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-11_Hornbill_EnglishMedium.pdf,118,3.35,True,False,NONE,156704,1328.0,STD-11th/Std-11_Hornbill_EnglishMedium.pdf
gseb_std11_11_maths_englishmedium_pdf_em,STD-11th,Mathematics,CORE_TEXTBOOK,HIGH,Std-11_Maths_EnglishMedium.pdf,376,43.18,True,False,NONE,1372374,3649.9,STD-11th/Std-11_Maths_EnglishMedium.pdf
gseb_std11_11_shrimadbhagwatgita_englishm_pdf_em,STD-11th,English Literature & Language,REFERENCE/OTHER,LOW,Std-11_ShrimadBhagwatGita_EnglishM.pdf,16,9.11,False,True,REQUIRED,0,0.0,STD-11th/Std-11_ShrimadBhagwatGita_EnglishM.pdf
gseb_std11_11_sociology_english_medium_pdf_em,STD-11th,English Literature & Language,CORE_TEXTBOOK,HIGH,Std-11_Sociology English Medium.pdf,82,35.73,False,True,REQUIRED,0,0.0,STD-11th/Std-11_Sociology English Medium.pdf
gseb_std11_11_yog_health_englishmedium_pdf_em,STD-11th,English Literature & Language,REFERENCE/OTHER,LOW,Std-11_Yog Health EnglishMedium.pdf,138,88.33,False,True,REQUIRED,9,0.1,STD-11th/Std-11_Yog Health EnglishMedium.pdf
gseb_std11_11_commercial_correspondance_and_secretarial_practice_eng_m_pdf_em,STD-11th,Commerce & Economics,UNKNOWN,LOW,Std_11_Commercial Correspondance and Secretarial Practice_Eng_M.pdf,144,15.65,False,True,REQUIRED,0,0.0,STD-11th/Std_11_Commercial Correspondance and Secretarial Practice_Eng_M.pdf
gseb_std11_11_economics_english_medium_pdf_em,STD-11th,Commerce & Economics,CORE_TEXTBOOK,HIGH,Std_11_Economics_English_Medium.pdf,150,58.95,False,True,REQUIRED,800,5.3,STD-11th/Std_11_Economics_English_Medium.pdf
gseb_std11_11_political_science_english_medium_pdf_em,STD-11th,Science & Technology,CORE_TEXTBOOK,HIGH,Std_11_Political Science_English Medium.pdf,96,12.85,False,True,REQUIRED,0,0.0,STD-11th/Std_11_Political Science_English Medium.pdf
gseb_std11_11_sanskrit_eng_m_pdf_em,STD-11th,Sanskrit Literature,CORE_TEXTBOOK,HIGH,Std_11_Sanskrit_Eng_M.pdf,115,21.2,False,True,REQUIRED,283,2.5,STD-11th/Std_11_Sanskrit_Eng_M.pdf
gseb_std12_12_chemistry_journal_pdf_em,STD-12th,Science & Technology,PRACTICAL/JOURNAL,LOW,12_CHEMISTRY-JOURNAL.pdf,124,36.58,True,False,HYBRID_OPTIONAL,8324,67.1,STD-12th/PRACTICAL JOURNAL/12_CHEMISTRY-JOURNAL.pdf
gseb_std12_12_physics_journal_pdf_em,STD-12th,Science & Technology,PRACTICAL/JOURNAL,LOW,12_PHYSICS-JOURNAL.pdf,100,20.28,False,False,HYBRID_OPTIONAL,2760,27.6,STD-12th/PRACTICAL JOURNAL/12_PHYSICS-JOURNAL.pdf
